time,joint_2,joint_3,joint_4,joint_6
7.734,-1.570799982198675,-1.5707988874577163,-1.5711065933673873,-1.5705154045418581
7.736,-1.5707999820572824,-1.5707988905564194,-1.57110638180984,-1.570515600921768
7.738,-1.5707999819172889,-1.5707988936464687,-1.5711061703982727,-1.5705157971661696
7.74,-1.5707999817786855,-1.5707988967278883,-1.5711059591325844,-1.5705159932751562
7.742,-1.570799981641464,-1.5707988998007025,-1.5711057480126747,-1.5705161892488215
7.744,-1.5707999815056157,-1.5707989028649356,-1.5711055370384428,-1.5705163850872588
7.746,-1.5707999813711322,-1.5707989059206118,-1.5711053262097885,-1.5705165807905612
7.748,-1.5707999812380051,-1.570798908967755,-1.5711051155266111,-1.5705167763588221
7.75,-1.570799981106226,-1.5707989120063894,-1.5711049049888104,-1.5705169717921348
7.752,-1.5707999809757869,-1.570798915036539,-1.5711046945962859,-1.5705171670905922
7.7540000000000004,-1.570799980846679,-1.5707989180582274,-1.5711044843489375,-1.5705173622542874
7.756,-1.5707999807188944,-1.5707989210714783,-1.5711042742466648,-1.5705175572833134
7.758,-1.5707999805924249,-1.5707989240763158,-1.5711040642893679,-1.5705177521777633
7.76,-1.5707999804672623,-1.5707989270727634,-1.571103854476947,-1.57051794693773
7.7620000000000005,-1.5707999803433985,-1.5707989300608447,-1.5711036448093016,-1.5705181415633058
7.764,-1.5707999802208255,-1.5707989330405832,-1.5711034352863322,-1.570518336054584
7.766,-1.5707999800995351,-1.5707989360120023,-1.571103225907939,-1.570518530411657
7.768,-1.5707999799795196,-1.5707989389751256,-1.571103016674022,-1.5705187246346173
7.7700000000000005,-1.5707999798607708,-1.5707989419299762,-1.571102807584482,-1.5705189187235575
7.772,-1.570799979743281,-1.5707989448765776,-1.5711025986392189,-1.5705191126785703
7.774,-1.5707999796270422,-1.5707989478149529,-1.5711023898381333,-1.570519306499748
7.776,-1.5707999795120466,-1.5707989507451252,-1.5711021811811257,-1.570519500187183
7.7780000000000005,-1.5707999793982865,-1.5707989536671174,-1.5711019726680968,-1.5705196937409673
7.78,-1.5707999792857543,-1.5707989565809528,-1.571101764298947,-1.5705198871611936
7.782,-1.570799979174442,-1.5707989594866543,-1.5711015560735775,-1.5705200804479538
7.784,-1.5707999790643423,-1.5707989623842444,-1.5711013479918887,-1.5705202736013397
7.7860000000000005,-1.5707999789554474,-1.5707989652737464,-1.5711011400537815,-1.5705204666214438
7.788,-1.5707999788477498,-1.5707989681551828,-1.5711009322591571,-1.5705206595083578
7.79,-1.5707999787412419,-1.5707989710285764,-1.5711007246079163,-1.5705208522621739
7.792,-1.5707999786359161,-1.5707989738939496,-1.5711005170999601,-1.5705210448829836
7.7940000000000005,-1.5707999785317652,-1.570798976751325,-1.5711003097351899,-1.5705212373708788
7.796,-1.5707999784287816,-1.5707989796007253,-1.5711001025135065,-1.5705214297259513
7.798,-1.570799978326958,-1.5707989824421726,-1.5710998954348117,-1.5705216219482927
7.8,-1.5707999782262871,-1.5707989852756894,-1.5710996884990065,-1.5705218140379946
7.8020000000000005,-1.5707999781267616,-1.570798988101298,-1.5710994817059922,-1.5705220059951484
7.804,-1.5707999780283741,-1.5707989909190208,-1.5710992750556707,-1.5705221978198456
7.806,-1.5707999779311177,-1.5707989937288798,-1.5710990685479431,-1.5705223895121778
7.808,-1.5707999778349848,-1.570798996530897,-1.5710988621827113,-1.570522581072236
7.8100000000000005,-1.5707999777399686,-1.5707989993250946,-1.571098655959877,-1.5705227725001119
7.812,-1.570799977646062,-1.5707990021114946,-1.5710984498793417,-1.5705229637958964
7.814,-1.5707999775532575,-1.5707990048901188,-1.5710982439410075,-1.5705231549596808
7.816,-1.5707999774615484,-1.570799007660989,-1.571098038144776,-1.570523345991556
7.8180000000000005,-1.5707999773709278,-1.5707990104241272,-1.5710978324905496,-1.570523536891613
7.82,-1.5707999772813885,-1.5707990131795548,-1.5710976269782297,-1.570523727659943
7.822,-1.5707999771929237,-1.5707990159272938,-1.571097421607719,-1.5705239182966368
7.824,-1.5707999771055268,-1.5707990186673657,-1.5710972163789192,-1.5705241088017854
7.8260000000000005,-1.5707999770191905,-1.570799021399792,-1.5710970112917328,-1.5705242991754793
7.828,-1.5707999769339083,-1.5707990241245942,-1.571096806346062,-1.5705244894178092
7.83,-1.5707999768496732,-1.5707990268417937,-1.571096601541809,-1.5705246795288659
7.832,-1.5707999767664784,-1.570799029551412,-1.5710963968788767,-1.57052486950874
7.8340000000000005,-1.5707999766843175,-1.5707990322534704,-1.5710961923571671,-1.5705250593575217
7.836,-1.5707999766031835,-1.57079903494799,-1.5710959879765831,-1.5705252490753019
7.838,-1.57079997652307,-1.5707990376349918,-1.5710957837370272,-1.5705254386621708
7.84,-1.5707999764439704,-1.5707990403144974,-1.5710955796384019,-1.5705256281182187
7.8420000000000005,-1.570799976365878,-1.5707990429865275,-1.57109537568061,-1.570525817443536
7.844,-1.5707999762887863,-1.5707990456511032,-1.5710951718635546,-1.5705260066382127
7.846,-1.570799976212689,-1.5707990483082455,-1.5710949681871385,-1.570526195702339
7.848,-1.5707999761375795,-1.5707990509579752,-1.5710947646512645,-1.5705263846360054
7.8500000000000005,-1.5707999760634515,-1.5707990536003131,-1.5710945612558358,-1.5705265734393012
7.852,-1.5707999759902984,-1.57079905623528,-1.5710943580007555,-1.570526762112317
7.854,-1.570799975918114,-1.5707990588628968,-1.5710941548859267,-1.5705269506551423
7.856,-1.5707999758468918,-1.570799061483184,-1.5710939519112528,-1.570527139067867
7.8580000000000005,-1.5707999757766256,-1.570799064096162,-1.5710937490766368,-1.570527327350581
7.86,-1.5707999757073092,-1.5707990667018517,-1.5710935463819822,-1.570527515503374
7.862,-1.5707999756389364,-1.5707990693002731,-1.5710933438271923,-1.5705277035263354
7.864,-1.570799975571501,-1.570799071891447,-1.571093141412171,-1.570527891419555
7.8660000000000005,-1.5707999755049966,-1.5707990744753937,-1.5710929391368214,-1.5705280791831224
7.868,-1.5707999754394175,-1.5707990770521334,-1.5710927370010475,-1.570528266817127
7.87,-1.5707999753747572,-1.5707990796216864,-1.5710925350047527,-1.5705284543216582
