time,joint_2
1.606,-0.15072206451218584
1.608,-0.1504483412233325
1.61,-0.1501707828729008
1.612,-0.14988943456249973
1.614,-0.14960434200928452
1.616,-0.14931555153873016
1.618,-0.14902311007730631
1.62,-0.14872706514505452
1.622,-0.14842746484806907
1.624,-0.14812435787088232
1.6260000000000001,-0.14781779346875557
1.6280000000000001,-0.14750782145987668
1.6300000000000001,-0.14719449221746547
1.6320000000000001,-0.14687785666178807
1.6340000000000001,-0.14655796625208123
1.6360000000000001,-0.14623487297838791
1.6380000000000001,-0.1459086293533052
1.6400000000000001,-0.14557928840364578
1.6420000000000001,-0.14524690366201412
1.6440000000000001,-0.14491152915829864
1.6460000000000001,-0.144573219411081
1.6480000000000001,-0.14423202941896393
1.6500000000000001,-0.1438880146518185
1.6520000000000001,-0.14354123104195252
1.6540000000000001,-0.1431917349752011
1.6560000000000001,-0.14283958328194077
1.6580000000000001,-0.1424848332280283
1.6600000000000001,-0.14212754250566578
1.6620000000000001,-0.1417677692241932
1.6640000000000001,-0.14140557190080985
1.666,-0.1410410094512259
1.668,-0.14067414118024574
1.67,-0.140305026772284
1.672,-0.13993372628181638
1.674,-0.13956030012376597
1.676,-0.139184809063827
1.678,-0.1388073142087272
1.68,-0.1384278769964305
1.682,-0.13804655918628117
1.684,-0.1376634228490912
1.686,-0.13727853035717227
1.688,-0.13689194437431398
1.69,-0.13650372784570947
1.692,-0.13611394398783053
1.694,-0.1357226562782533
1.696,-0.1353299284454363
1.698,-0.13493582445845229
1.7,-0.1345404085166757
1.702,-0.13414374503942694
1.704,-0.13374589865557548
1.706,-0.13334693419310314
1.708,-0.1329469166686293
1.71,-0.13254591127689944
1.712,-0.1321439833802392
1.714,-0.13174119849797483
1.716,-0.13133762229582246
1.718,-0.1309333205752473
1.72,-0.13052835926279466
1.722,-0.13012280439939475
1.724,-0.12971672212964225
1.726,-0.1293101786910532
1.728,-0.12890324040330037
1.73,-0.1284959736574288
1.732,-0.1280884449050538
1.734,-0.1276807206475425
1.736,-0.12727286742518096
1.738,-0.12686495180632876
1.74,-0.1264570403765625
1.742,-0.12604919972781028
1.744,-0.12564149644747866
1.746,-0.12523399710757405
1.748,-0.12482676825382032
1.75,-0.12441987639477423
1.752,-0.1240133879909407
1.754,-0.1236073694438896
1.756,-0.12320188708537586
1.758,-0.12279700716646463
1.76,-0.12239279584666359
1.762,-0.12198931918306374
1.764,-0.12158664311949102
1.766,-0.12118483347567009
1.768,-0.12078395593640245
1.77,-0.12038407604076053
1.772,-0.11998525917129955
1.774,-0.11958757054328922
1.776,-0.11919107519396671
1.778,-0.11879583797181305
1.78,-0.11840192352585464
1.782,-0.11800939629499177
1.784,-0.11761832049735577
1.786,-0.11722876011969693
1.788,-0.11684077890680476
1.79,-0.1164544403509625
1.792,-0.11606980768143771
1.794,-0.11568694385401075
